epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.26915,0.91192,3.60012,1.34297,0.0278,0.95833,0.09521,0.08423,0.37877,2.94972,0.94012,3.332e-05,3.332e-05,3.332e-05
2,10.7047,0.96542,3.84017,1.37435,0.33635,0.46743,0.12437,0.1132,0.3471,4.6852,0.8839,7.42278e-05,7.42278e-05,7.42278e-05
3,16.8338,0.69065,2.98259,1.13961,0.63178,0.60105,0.47656,0.45134,0.34121,5.8515,0.85023,0.000114311,0.000114311,0.000114311
4,22.6156,0.54331,2.45195,1.02776,0.4387,0.875,0.50128,0.49744,0.23956,7.84796,0.80384,0.000153569,0.000153569,0.000153569
5,28.4626,0.64488,2.2718,1.08184,0.57109,0.71645,0.53345,0.4898,0.40952,6.88344,0.90392,0.000192003,0.000192003,0.000192003
6,34.0569,0.54568,1.89283,0.99251,0.39282,0.72334,0.4581,0.44305,0.32066,7.91472,0.84651,0.000229612,0.000229612,0.000229612
7,40.1882,0.57041,1.92604,1.03549,0.33191,0.94444,0.58054,0.54839,0.35385,5.47469,0.93064,0.000266397,0.000266397,0.000266397
8,45.9082,0.6105,1.89228,1.03055,0.45481,0.86753,0.64154,0.60606,0.36494,5.67188,0.9013,0.000302357,0.000302357,0.000302357
9,52.091,0.52996,1.80791,0.99963,0.32885,0.81723,0.6022,0.55328,0.43147,14.8248,0.99967,0.000337492,0.000337492,0.000337492
10,58.1729,0.59388,1.6387,1.02877,0.30336,1,0.68005,0.55412,0.52753,14.2415,1.03864,0.000371802,0.000371802,0.000371802
11,63.7112,0.69493,1.58703,1.03975,0.26474,0.91667,0.61419,0.56524,0.35512,10.9268,0.89674,0.000405288,0.000405288,0.000405288
12,69.2863,0.58728,1.52921,1.00308,0.38932,0.53007,0.30456,0.27026,0.4892,5.43708,0.96863,0.000437949,0.000437949,0.000437949
13,74.8457,0.56452,1.51906,0.96544,0.28941,0.63913,0.36504,0.30571,0.56706,7.19357,1.05097,0.000469785,0.000469785,0.000469785
14,80.8958,0.64587,1.50551,1.05552,0.54297,0.71205,0.55918,0.47531,0.56108,5.64365,1.06254,0.000500797,0.000500797,0.000500797
15,86.4169,0.61061,1.36232,0.98224,0.57695,0.69899,0.482,0.40077,0.58397,9.06205,1.13693,0.000530984,0.000530984,0.000530984
16,92.0043,0.59456,1.43862,1.00249,0.51046,0.89038,0.65666,0.60963,0.42002,3.45944,0.90807,0.000560347,0.000560347,0.000560347
17,97.7102,0.59125,1.35268,1.01414,0.66634,0.65278,0.58182,0.45295,0.68105,9.192,1.2585,0.000588884,0.000588884,0.000588884
18,103.482,0.60211,1.48201,1.01341,0.31525,0.72007,0.49672,0.4353,0.49973,12.9169,0.98662,0.000616597,0.000616597,0.000616597
19,109.056,0.57559,1.43988,1.01731,0.14087,0.73611,0.40641,0.23975,0.82141,15.8309,1.275,0.000643486,0.000643486,0.000643486
20,114.646,0.6261,1.45736,1.01219,0.0212,0.55556,0.02709,0.02061,0.82788,inf,1.19308,0.00066955,0.00066955,0.00066955
21,120.207,0.61314,1.39564,1.02431,0.0451,0.7458,0.11062,0.06227,0.73758,inf,1.11196,0.000668066,0.000668066,0.000668066
22,126.113,0.6022,1.28366,0.95248,0.21896,0.63889,0.34693,0.24597,0.67689,127.132,1.15391,0.000659819,0.000659819,0.000659819
23,131.562,0.62551,1.29472,1.00718,0.32725,0.5,0.37307,0.25401,0.9434,81.4439,1.54918,0.000651573,0.000651573,0.000651573
24,137.152,0.66926,1.34272,1.01913,0.26642,0.58809,0.33374,0.2847,0.8827,6.37832,1.55716,0.000643326,0.000643326,0.000643326
25,142.796,0.62802,1.31944,1.02811,0.5708,0.98915,0.82062,0.72168,0.48296,2.08434,0.98104,0.000635079,0.000635079,0.000635079
26,148.899,0.53842,1.1984,0.98158,0.65811,1,0.873,0.78274,0.43461,2.06693,0.91383,0.000626832,0.000626832,0.000626832
27,154.678,0.56998,1.21911,0.9744,0.67902,0.85383,0.84417,0.74901,0.50984,2.22558,0.99492,0.000618586,0.000618586,0.000618586
28,160.285,0.63206,1.28641,1.04115,0.81845,0.48611,0.49972,0.43205,0.546,7.48804,0.98146,0.000610339,0.000610339,0.000610339
29,166.37,0.56097,1.18494,0.97691,0.60716,0.62182,0.73213,0.64655,0.50411,1.96142,0.94189,0.000602092,0.000602092,0.000602092
30,171.846,0.49116,1.09794,0.95768,0.44017,0.70145,0.53713,0.41613,0.56393,3.58899,0.98264,0.000593846,0.000593846,0.000593846
31,177.338,0.54095,1.03055,0.99735,0.3903,0.75198,0.54172,0.46156,0.52576,6.51137,1.02568,0.000585599,0.000585599,0.000585599
32,182.965,0.44678,1.08176,0.95672,0.68105,0.89322,0.83756,0.7622,0.41563,1.87295,0.88584,0.000577352,0.000577352,0.000577352
33,188.772,0.50937,0.9623,0.95109,0.7076,0.86111,0.74945,0.70778,0.35377,1.2037,0.87631,0.000569106,0.000569106,0.000569106
34,194.274,0.50922,1.0528,0.9633,0.64193,0.90038,0.8542,0.80575,0.33568,1.16086,0.83608,0.000560859,0.000560859,0.000560859
35,199.982,0.53485,1.03805,0.96033,0.65144,0.95358,0.88763,0.74908,0.4592,1.54408,0.91608,0.000552612,0.000552612,0.000552612
36,205.513,0.45743,1.00892,0.94859,0.76159,0.7043,0.85518,0.78895,0.39153,1.86982,0.87619,0.000544365,0.000544365,0.000544365
37,211.538,0.4508,1.03708,0.92338,0.90814,0.62343,0.81048,0.75249,0.42817,1.33637,0.90518,0.000536119,0.000536119,0.000536119
38,217.11,0.54327,1.13417,0.98175,0.61883,0.88033,0.88363,0.80492,0.4569,1.15781,0.93834,0.000527872,0.000527872,0.000527872
39,222.737,0.48764,1.06747,0.97903,0.6611,0.99185,0.87798,0.80276,0.41322,1.64146,0.89495,0.000519625,0.000519625,0.000519625
40,228.304,0.5364,1.02098,0.98112,0.76615,0.96014,0.89189,0.84664,0.31471,0.83596,0.82484,0.000511379,0.000511379,0.000511379
41,234.255,0.48237,0.93196,0.94401,0.78332,0.91301,0.89613,0.84683,0.36636,0.70186,0.89804,0.000503132,0.000503132,0.000503132
42,239.912,0.51618,0.92283,0.9705,0.67434,0.96373,0.84909,0.79442,0.34908,1.47189,0.87642,0.000494885,0.000494885,0.000494885
43,245.503,0.4629,1.05009,0.93682,0.6604,0.95833,0.78861,0.7473,0.34379,4.00751,0.85821,0.000486639,0.000486639,0.000486639
44,251.145,0.45364,0.97262,0.95365,0.65025,0.98833,0.73348,0.68358,0.37887,5.07496,0.85506,0.000478392,0.000478392,0.000478392
45,256.967,0.40577,0.9307,0.90938,0.6425,0.98611,0.81069,0.757,0.33775,2.57879,0.83427,0.000470145,0.000470145,0.000470145
46,262.451,0.46205,0.92104,0.97382,0.82779,0.875,0.85078,0.81151,0.26491,0.80688,0.82344,0.000461898,0.000461898,0.000461898
47,267.974,0.42609,0.92219,0.93947,0.8023,0.86111,0.83892,0.82695,0.26105,0.59974,0.81175,0.000453652,0.000453652,0.000453652
48,273.544,0.43035,0.97254,0.94129,0.80804,1,0.89439,0.87511,0.21457,0.43157,0.787,0.000445405,0.000445405,0.000445405
49,279.601,0.46498,0.96273,0.9762,0.78636,0.97386,0.89084,0.88621,0.20667,0.46476,0.79129,0.000437158,0.000437158,0.000437158
50,285.188,0.39728,0.85441,0.91822,0.73766,0.95253,0.88759,0.88347,0.20337,0.57103,0.78768,0.000428912,0.000428912,0.000428912
51,290.628,0.42055,1.04151,0.94599,0.55189,0.79706,0.72626,0.72626,0.18442,2.0564,0.77231,0.000420665,0.000420665,0.000420665
52,296.191,0.42271,0.95711,0.9374,0.68313,0.96188,0.89296,0.89037,0.22124,0.77331,0.79182,0.000412418,0.000412418,0.000412418
