epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95734,0.70817,4.18274,1.15109,0.02547,0.95833,0.08476,0.07299,0.37547,3.00264,0.93361,3.332e-05,3.332e-05,3.332e-05
2,12.1798,0.82044,4.0548,1.29353,0.33523,0.43056,0.22161,0.2068,0.37091,2.93989,0.9101,6.7548e-05,6.7548e-05,6.7548e-05
3,18.5505,0.40114,3.18988,0.93095,0.20278,0.7029,0.43318,0.42235,0.32796,2.9808,0.8669,9.35292e-05,9.35292e-05,9.35292e-05
4,24.2512,0.36833,2.45056,0.90135,0.30649,0.82696,0.52057,0.48749,0.36127,2.37119,0.88626,0.000111264,0.000111264,0.000111264
5,29.8699,0.26689,2.11846,0.88191,0.36937,1,0.63257,0.61294,0.30103,5.17171,0.83435,0.000120752,0.000120752,0.000120752
6,35.4893,0.32925,1.97413,0.86026,0.55265,0.79167,0.62104,0.61188,0.25585,2.40304,0.80992,0.000121993,0.000121993,0.000121993
7,41.4261,0.32262,1.69938,0.89792,0.57419,0.97204,0.68271,0.67824,0.27232,1.89507,0.82704,0.000114987,0.000114987,0.000114987
8,47.1775,0.26283,1.397,0.86364,0.55825,0.94444,0.70238,0.67761,0.2908,1.48778,0.81719,9.97351e-05,9.97351e-05,9.97351e-05
9,53.011,0.26538,1.33977,0.87037,0.58015,0.98611,0.75154,0.75154,0.20426,1.3541,0.78305,7.62362e-05,7.62362e-05,7.62362e-05
10,59.0188,0.23903,1.1893,0.82061,0.60092,0.97269,0.79934,0.79934,0.18566,1.2467,0.77861,4.44905e-05,4.44905e-05,4.44905e-05
