epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33434,0.91213,3.96984,1.35428,1,0.19393,0.75137,0.69146,0.36681,2.79078,0.91893,3.332e-05,3.332e-05,3.332e-05
2,11.4574,0.93752,4.01268,1.35072,0.99911,0.97222,0.98702,0.92401,0.37093,1.30512,0.88571,7.42278e-05,7.42278e-05,7.42278e-05
3,16.9244,0.56613,1.67011,1.10568,0.99917,1,0.995,0.92423,0.36817,1.21882,0.86391,0.000114311,0.000114311,0.000114311
4,22.2519,0.54124,1.02813,1.13435,1,1,0.995,0.88885,0.41987,1.41125,0.90977,0.000153569,0.000153569,0.000153569
5,27.509,0.66589,1.1837,1.18506,1,1,0.995,0.94309,0.29968,1.33456,0.82747,0.000192003,0.000192003,0.000192003
6,32.8702,0.48777,0.74173,1.04019,1,1,0.995,0.93821,0.37265,1.59734,0.88544,0.000229612,0.000229612,0.000229612
7,38.1794,0.55777,0.74607,1.14455,0.88889,1,0.92523,0.80809,0.41489,5.39698,0.94402,0.000266397,0.000266397,0.000266397
8,43.4464,0.56856,0.75875,1.1043,0.55814,1,0.57997,0.48602,0.55743,9.46331,0.95231,0.000302357,0.000302357,0.000302357
9,48.8101,0.5809,0.75734,1.10338,0.84706,1,0.90211,0.78795,0.54357,5.77223,1.16081,0.000337492,0.000337492,0.000337492
10,54.0977,0.61516,0.80666,1.11685,0.38418,0.94444,0.38245,0.33774,0.6591,19.394,1.05113,0.000371802,0.000371802,0.000371802
11,59.3846,0.71156,0.74372,1.17561,0.94828,0.76389,0.87657,0.71177,0.70119,4.04631,1.22854,0.000405288,0.000405288,0.000405288
12,64.7302,0.69133,0.72495,1.23478,0.61154,0.61111,0.6199,0.26079,1.66618,3.62984,2.59912,0.000437949,0.000437949,0.000437949
13,70.0391,0.62395,0.68999,1.13715,0.35776,0.72222,0.44519,0.14317,1.85806,7.14658,2.59089,0.000469785,0.000469785,0.000469785
14,75.3629,0.64513,0.68247,1.14224,0.98182,0.75,0.96337,0.73607,0.63566,2.47056,1.09312,0.000500797,0.000500797,0.000500797
15,80.6147,0.59339,0.62701,1.06601,0.58861,0.80556,0.74844,0.42842,1.32001,2.7772,1.67089,0.000530984,0.000530984,0.000530984
16,85.765,0.62283,0.65073,1.14329,0.58854,0.16667,0.20359,0.09267,1.75673,2.73886,2.04557,0.000560347,0.000560347,0.000560347
17,90.9559,0.60427,0.65068,1.10529,0.01117,1,0.03663,0.01179,2.72852,4.33539,2.90258,0.000588884,0.000588884,0.000588884
18,96.1897,0.55306,0.51737,1.09148,0.06553,0.55556,0.0777,0.02822,2.45235,4.94122,2.47942,0.000616597,0.000616597,0.000616597
19,101.98,0.54192,0.51607,1.07211,0.23965,0.86111,0.37506,0.2935,1.02093,4.89815,1.22695,0.000643486,0.000643486,0.000643486
20,107.286,0.54357,0.51932,1.07233,0.46089,0.72222,0.56255,0.47112,0.6623,4.56526,1.05203,0.00066955,0.00066955,0.00066955
21,112.498,0.53933,0.53224,1.07737,0.58536,0.41182,0.54308,0.44456,0.77919,3.07919,1.16454,0.000668066,0.000668066,0.000668066
22,117.748,0.50078,0.5142,1.02895,0.15118,0.93056,0.2703,0.20138,0.89199,3.0351,1.24584,0.000659819,0.000659819,0.000659819
23,122.987,0.51117,0.48507,1.06739,0.28313,0.55556,0.31742,0.13142,1.39154,2.3912,1.91951,0.000651573,0.000651573,0.000651573
24,128.256,0.53789,0.43245,1.09016,0.01841,0.88889,0.01839,0.01362,1.24778,28.9898,2.72398,0.000643326,0.000643326,0.000643326
25,133.45,0.49164,0.57507,1.06628,0.00662,0.81944,0.00667,0.00442,1.2115,52.216,1.82301,0.000635079,0.000635079,0.000635079
26,138.673,0.47759,0.51281,1.04045,0.01041,0.83333,0.01018,0.00776,0.73582,40.0073,1.08044,0.000626832,0.000626832,0.000626832
27,143.937,0.44463,0.45176,0.99753,0.01647,0.83333,0.01647,0.01184,0.7983,25.4684,1.09257,0.000618586,0.000618586,0.000618586
28,149.266,0.56636,0.56052,1.11032,0.92585,0.76389,0.93582,0.74607,0.68131,0.96642,1.07999,0.000610339,0.000610339,0.000610339
29,154.451,0.48023,0.52591,1.03184,0.9697,1,0.995,0.86726,0.52538,1.80911,1.03172,0.000602092,0.000602092,0.000602092
